line_1,line_2,line_3,source
monastery bell,a little space,for the next ghost,herons_nest
stinging nettles—,things that were said,I can't forget,herons_nest
sickle moon,the old pub roof,losing its thatch,herons_nest
autumn evening,the shadow of Dad's cross,pointing me home,herons_nest
bird by bird,the marsh empties...,autumn sky,herons_nest
thin autumn wind,they call each other,by childhood names,herons_nest
rattling gourds,the music we grew,in our garden,herons_nest
foghorn,bringing me down,to A-flat,herons_nest
moonlight,on bare acacia,her phantom touch,herons_nest
the way,we shape each other,bonsai tree,herons_nest
racing ahead,of me in the dark,dried leaves,herons_nest
roosting rooks,hear the,church bells out,herons_nest
dusk,a deeper shade,of crow,herons_nest
something,out of nothing—,first snow,herons_nest
winter night,the sounds,of common things,herons_nest
the creak,of bare trees,ice moon,herons_nest
longest night,the moon neither,he nor she,herons_nest
the river deepens—,she tries again,to explain,herons_nest
raw hems,on a new pair of jeans,spring snow,herons_nest
making up for,the little space she takes,robin's song,herons_nest
birding app,my library,of love songs,herons_nest
are your up and downs,the same as my up and downs,black butterfly,herons_nest
field guide...,narrowing it down,by what it's not,herons_nest
traffic jam,a raindrop's pace,down the windscreen,herons_nest
broken water,a striped bass rises,in the eagle's talons,herons_nest
apologizing,on behalf of the west wind,nestlings in my palm,herons_nest
doodling,in the margins,catbird calls,herons_nest
snapdragon,it doesn't take much,to silence me,herons_nest
sound of leaves,hitting the forest floor,wood ear mushrooms,herons_nest
watercolors:,sunlight lingers,on creek stones,herons_nest
our shadows,right where we left them,autumn again,herons_nest
moon rind—,this yearning,for home,herons_nest
goldenrod,a monarch sipping,morning sun,herons_nest
half light,the call of rooks,in the yellowing birch,herons_nest
A twilight of grackles—,the old gate swings,in the autumn wind,herons_nest
park bench,this feeling of everything,out of reach,herons_nest
stages of grief,a body,that's mostly water,herons_nest
on my own...,a mountain of days,a river of nights,herons_nest
the nightlight glints,inherteddybear's,unpluckedeye,herons_nest
retirement,most of my i's,left undotted,herons_nest
learning slowly,the years it takes,for starlight,herons_nest
Orion rising...,the last time my son asked,for a story,herons_nest
greasy spoon,like all the others,I sit alone,herons_nest
snowy thicket,a white-throated sparrow,forages for spring,herons_nest
patches of snow,my secrets surrender,to sunlight,herons_nest
migratory season,I return,to my outdoor ways,herons_nest
opening day,approximating a moment,of silence,herons_nest
spring rain,could you whisper,a little louder,herons_nest
still no call,i arrange the flowers,to death,herons_nest
daybreak,the pomegranate blossoms,brimming with rainwater,herons_nest
morning mist,an osprey's talons,full of pine straw,herons_nest
its calls tumbling,over field and brook,spring lapwing,herons_nest
moonlight in the nest,three newborn chicks,and an egg,herons_nest
Ancestry.com,her wildflower,DNA,herons_nest
immunotherapy,a touch of sunlight,on the spiderweb,herons_nest
letting myself,fall under its spell,butterfly silence,herons_nest
minnows dart,among mossy pebbles,a fishing line's whirr,herons_nest
last light,through barn slats,the runt of the litter,herons_nest
moon at dawn,all our dreams in one,billowing birdsong,herons_nest
the move,into occupied territory,dandelion bloom,herons_nest
old marriage,the backyard full,of wildflowers,herons_nest
mourning cloak,shelf fungus staggering,up the oak,herons_nest
forest bathing—,silver droplets,from a towhee's wing,herons_nest
old dirt road,gone,to poppies,herons_nest
every kid,a puppet master—,snapdragons,herons_nest
summer cottage,a bird's nest,in the mailbox,herons_nest
bruised plum,the biopsy,comes back clear,herons_nest
passing years,the price tag still,on his fishing pole,herons_nest
this bend,of the river all his,red-breasted merganser,herons_nest
sand ridges,underwater,the shape of wind,herons_nest
cumulus clouds,our tendency to see things,differently,herons_nest
cormorants airing out,the dark underbellies,of rain clouds,herons_nest
digginginthesand,our grandson finds water hiding,fromtheocean,herons_nest
coastal sunset,listening to the bay,grow darker,herons_nest
nothing,on the list today—,wild roses,herons_nest
the mad waving,of the beetle's antennae,worlds within worlds,herons_nest
the playground swing,squeaks a high note,summer heat,herons_nest
dry season—,a pied cuckoo,makes its own cloud,herons_nest
sometimes,things just happen,tumbleweed,herons_nest
high summer—,the games we play,skipping the rules,herons_nest
sizzling noon,buffalo walks away,with the pond,herons_nest
sun tea...,a slow pour,of afternoon,herons_nest
rushing the stage,at an outdoor rock concert,moths,herons_nest
too young,to have grown bitter,baby kale,herons_nest
blind spot,one thistle escapes,the mower blade,herons_nest
prairie sky—,the scent of corn,growing,herons_nest
canyon sandstone,a shadow ascends,Navajo toeholds,herons_nest
summer sunset,a snake in the mouth,of a snake,herons_nest
sketching,these mountains,I notice my lifeline,herons_nest
dusk,the blue heron,returns to mist,herons_nest
cake in the oven...,a magpie back and forth,from a pine,herons_nest
third piña colada,palmtreestickle,thetradewinds,herons_nest
cock crow,each feather,keeping time,herons_nest
thinning moon,a fisherman casts,into dawn,herons_nest
abandoned fishing boat,what the spiders,hope to catch,herons_nest
cloudless sky,a leaning white sail,in the bay,herons_nest
the river,through the bar window,bottleneck blues,herons_nest
antiquities museum,proving I've earned,the senior-discount,herons_nest
sun-summoned,the dependability,of morning glories,herons_nest
breathinginthenout,the tidal river,reverses flow,herons_nest
going nowhere,a piece of driftwood,points the way,herons_nest
silent grief—,the way the river,carries the fog,herons_nest
the rattle,of an empty cattle truck,gathering dark,herons_nest
before rehearsal,the sacred silence,of an empty church,herons_nest
falling leaves,the flow of the river,a little slower,herons_nest
cloud-watching,the changing shape,of starlings,herons_nest
cold morning,every peewee note,visible,herons_nest
a dream,still clinging to me,peppermint tea,herons_nest
first pottery class...,finding a jug,inside the clay,herons_nest
first season together,learning,her winter ways,herons_nest
midnight,the last flame tongues a hole,in the charred log,herons_nest
the warm weight,of my sleepy child,winter meteors,herons_nest
hunger moon,a descendent of wolves,licks our plates,herons_nest
potato soup,I serve my sons,our roots,herons_nest
buffalo drum,old growth pines,frame the dawn,herons_nest
river mist...,the faint whispers,of a lost prophet,herons_nest
transitioning,into the magnolia,morning moon,herons_nest
dawn,the meadow sheds,a garment of mist,herons_nest
starry night,my stream of thought empties,into river-sound,herons_nest
soft rain,on an old stump,maidenhair ferns,herons_nest
our journey begins...,two sides of the road,meet at the horizon,herons_nest
desert highway,sky and throttle,wide open,herons_nest
Grand Canyon sunset,a wrangler unsaddles,the last mule,herons_nest
rickshaw ride,her head,on his shoulder,herons_nest
airport twilight,the orange vests,of baggage handlers,herons_nest
peeling paint—,I step into the silence,of the old red barn,herons_nest
flashing silver,the plunging waves,of feeding terns,herons_nest
shoreline,the shades of blue,in her iris,herons_nest
all the light,of a boyhood summer,first firefly,herons_nest
scorching sun,a long queue for tickets,to the underground,herons_nest
deep tree shade,drinking tea with friends,I have lost,herons_nest
tasting the sea...,a fingertip,on my tongue,herons_nest
cormorants,skim the shimmer,—summer sea,herons_nest
family reunion,the broken chord,of a wind chime,herons_nest
rocking chair,the pace of afternoon,rain,herons_nest
lonely walk,among weeds I forget,my oddity,herons_nest
hermit crab,"are you small, medium",or large,herons_nest
wondering,what lies beyond...,another row of corn,herons_nest
flat earth,the way she spins,her truth,herons_nest
half moon,the way she tells it,could be true too,herons_nest
end to end,over the pool,dragonflies,herons_nest
the bees,while they can,late cosmos,herons_nest
high surf,the white belly,of a beached shark,herons_nest
rustling leaves,some stories begin,with a gust of wind,herons_nest
teeth marks,the number two pencil,of a daydreamer,herons_nest
unfinished poem,I add a wine stain,to the thesaurus,herons_nest
swept away,by the storyline...,wild geese,herons_nest
procrastination,fear of breaking,a wishbone,herons_nest
winter solstice,how quickly shadows climb,the canyon walls,herons_nest
a snipe,winnowing the air—,prairie smoke,herons_nest
solstice supper,the slow path,of the can opener,herons_nest
a drawer full,of ketchup packets,winter solitude,herons_nest
some of my best work,holding,your hand,herons_nest
giving up,then trying again—,winter campfire,herons_nest
small village,a cloud of smoke between,the chimney and the sky,herons_nest
winter stillness,each snowflake,sounds the same,herons_nest
a silk thread,through the eye of a needle,winter moon,herons_nest
stillness on the lake,a lone swan,stirs the stars,herons_nest
silent meadow,the swoop of an owl,etched in snow,herons_nest
he remembers me,as someone else,winter shadow,herons_nest
with the slap,of a beaver's tail,spring thaw,herons_nest
snowmelt,the magpies,not yet paired,herons_nest
pelting rain,a mouse's last movement,upends the trap,herons_nest
stone voices,where the river,greets the stream,herons_nest
the curl,of a goat's horn,new spring sun,herons_nest
first lamb of spring—,hanging my wool coat,in a dark closet,herons_nest
retirement—,all the dogwoods bloom,along this trail,herons_nest
pictures,of people taking pictures—,cherry blossoms,herons_nest
spring deepens—,my uncombed afro,full of cherry blossoms,herons_nest
spring cleaning,the wheelbarrow filled,with onion starts,herons_nest
coming clean,my DNA,in the rinse cycle,herons_nest
at the edge,of the river ice,a flotilla of geese,herons_nest
carrying the sun,on its back,first ladybird,herons_nest
my persona,changes,day moon,herons_nest
backyard gossip,hummingbirds flitting,from feeder to feeder,herons_nest
family picnic...,the forest enters,our conversation,herons_nest
bullhead fishing,she insists he bait,the hook,herons_nest
long summer night,the coffin maker sleeps,inside his coffin,herons_nest
water lilies...,the smell of dawn,floats on water,herons_nest
yoga lessons,I become one,with a mosquito,herons_nest
abandoned gas station,paper cups bleaching,in the weeds,herons_nest
story by story,tying the stars,together,herons_nest
night window,the part of me,I put out there,herons_nest
barn ribs,Amish horses,tethered to shade,herons_nest
slow arroyo flow—,a ripple of coyote,through prickly pear,herons_nest
summer drought,just enough rain,to scent the night,herons_nest
bullock cart lantern,dancing to the tune,of a country road,herons_nest
skateboard park,finches ride the wind,to a tree,herons_nest
where the summer breeze,windsup,acalliope,herons_nest
sunset,the garden spider,wraps up dinner,herons_nest
a loose halyard,slaps the mast,scattered stars,herons_nest
flattened boxes,the night squeezed out,in the alley,herons_nest
cicada husk—,two hours in a car,with a talker,herons_nest
off trail,douglas firs drizzle,yesterday's rain,herons_nest
autumn nap,the occasional thud,of an acorn,herons_nest
empty nest,our son's old sweater,on the dog,herons_nest
past lives,from my acoustic guitar,the scent of spruce,herons_nest
"turn it off, wait,",turn it back on,Indian summer,herons_nest
gravestone,no forwarding,address,herons_nest
a sugar skull,with my name on it,afternoon rain,herons_nest
cold moon,tappingout,histobacco,herons_nest
winter solstice,the soft fall of dumplings,into a stew,herons_nest
cold snap—,a lump of dried bandage,in his old gloves,herons_nest
snow squall,the sky,includes me,herons_nest
winter sky,unfolding the dog ears,from my diary,herons_nest
crescent moon,the sharp edge,of longing,herons_nest
blood pressure cuff,tightening,the treeless view,herons_nest
lambs skidding,down a farm lorry ramp,midwinter dusk,herons_nest
winter night—,slipping beneath the covers,of old story books,herons_nest
the colour,of this winter morning,a raven's wind-carried call,herons_nest
the care labels,washed away,long winter,herons_nest
sugar season,a boy with his ear,to the bucket,herons_nest
breaking,the intaglio seal,snowdrops,herons_nest
dandelion seeds,a brief summary,about me,herons_nest
ovulating,I dust the pollen,off my dress,herons_nest
coiled sweetgrass,the earthy scent,of a meadow lark's song,herons_nest
onetulipleft,toconduct,thewind,herons_nest
maple sap run,some spring,in the farmer's step,herons_nest
spring rain,the instinct,to breathe,herons_nest
the sunny inside,of a complicated day,camellia,herons_nest
overgrown rhododendron—,I give the bees,one more day,herons_nest
loneliness,one raindrop,at a time,herons_nest
meandering creek,the soft bend,of the swan's neck,herons_nest
rushing river,the years it takes,to shape a story,herons_nest
moving truck,the sound of neighbors,starting over,herons_nest
rowing a boat,into the lake,into the sky,herons_nest
my home town,the taste,of water,herons_nest
flowing river...,I so wish to be a fish,among the fish,herons_nest
the faintest tug,on a two pound leader,a rainbow trout,herons_nest
dusklight,thetailofaskink,thecatbroughtin,herons_nest
summer vacation,the cat's place,by an open window,herons_nest
earth tremor...,the flicker,of a lizard's tongue,herons_nest
temple in ruins...,a brook nearby,brims with lotus,herons_nest
a game of bocce,the wine drinkers,full of advice,herons_nest
two years,is not too long to wait,first lemons,herons_nest
silver pond,the faint ripples,of dawn,herons_nest
folded rock,the weight,of eons,herons_nest
summer wind,bending the blue,delphiniums,herons_nest
diagnosis—,wing whistle,of a mourning dove,herons_nest
after rain,the flare of sunlight,on a beetle's wings,herons_nest
calm beneath the rapids,the click of a,spinning reel,herons_nest
in our boat,the trout's mouth opens,to the rain,herons_nest
after the storm,coiled kelp,cradling sunshine,herons_nest
caught by the tide,what the herons,tried to tell me,herons_nest
abracadabra,the night sky,fills with stars,herons_nest
family photo album—,three generations,of frowns,herons_nest
storm clouds,what a father says,with silence,herons_nest
plucked jasmine,a funeral,on my hands,herons_nest
above her grave,a slow realignment,of the stars,herons_nest
aspen leaves,someone on the radio,whispers,herons_nest
September breeze,the drying cornfield,finds its voice,herons_nest
windy market,an onion skin escapes,up the street,herons_nest
the scalloped edge,of the pie plate,blackbird song,herons_nest
acorn pail,tree by tree,the boys collect a forest,herons_nest
chilly morning,the shorebirds,all on one leg,herons_nest
low tide—,the ocean,takes a deep breath in,herons_nest
apples from a tree we planted,now just,the two of us,herons_nest
river roar,a red squirrel shifts,the narrative,herons_nest
all-night diner,the cake carousel,spinning,herons_nest
retirement party...,new strings,for the old guitar,herons_nest
hard frost,a quarter clanks,in the alms box,herons_nest
my daughter threads it,as I did for my mother,fading autumn light,herons_nest
snowcapped peaks,the light in her eyes,slowly goes out,herons_nest
heart murmur,the cosmic pulse,of a dying star,herons_nest
field trip,I empty the day,from my pockets,herons_nest
nursing home orchid,tucking roots,back into the pot,herons_nest
autumn winds...,my dead neighbor's pickup,fills with leaves,herons_nest
frosty morning,our scarlet maple,refilling with blue,herons_nest
school play,the teacher adjusts,my oak,herons_nest
same handwriting,as my mother,secret admirer,herons_nest
laying down,a bleak tarot spread...,November leaves,herons_nest
winter's tale,the white pine's,translation,herons_nest
dad's toolshed—,the taste of iron,in my blood,herons_nest
woodsmoke,how wind,tells a story,herons_nest
winter frost—,thosewhowentwithout,aword,herons_nest
handles in the snow,a wheelbarrow,in the potato field,herons_nest
forgiveness...,darning moth holes,in my prayer shawl,herons_nest
booster shot,a new lease on,isolation,herons_nest
roaring snow,my heart on loan,from a wolf,herons_nest
colddampmorning,charred wood,intheraven'scall,herons_nest
calling on her,to hear me out,spring blackbird,herons_nest
bright Sunday—,I arrive as pallbearer,in my hometown,herons_nest
reaching up,to steal the sun,kudzu vines,herons_nest
ancestry research,a little crabgrass,in the lawn,herons_nest
the deep pink,in a gator's yawn,sunrise,herons_nest
bits of hotdog,on the fishhook—,lesser evils,herons_nest
rain-bent light,I teach the dog,to wait,herons_nest
weeding the garlic,stilltime,to put things right,herons_nest
let-go garden,nothing but jewelweed,and hummingbirds,herons_nest
hayfield breeze,a lilt,in the meadowlark's trill,herons_nest
wee hours,headlamps on,the harvester,herons_nest
summer's end...,searching a rock pool,for the child I was,herons_nest
popping bladderwrack,she asks,if it's true,herons_nest
a deep dive,into short stories,summer's end,herons_nest
windlessmorning,a leaf falls now and then,aleaffalls,herons_nest
milkweed pod,carefully teasing out,the truth,herons_nest
harvest moon,my roommate sings,a cricket song,herons_nest
the toddler,reaches for the moon,then tastes his fingers,herons_nest
autumn afternoon,"up a ladder, down a ladder",move a ladder,herons_nest
lazy afternoon...,picking my way home,through the apple orchard,herons_nest
buying a book,for the bookmark,scarlet maple,herons_nest
silken air,so many windows,in a spider's house,herons_nest
mother's passing—,sound of the wind,in the leaves,herons_nest
salt wind,the way he twists,my words,herons_nest
falling leaves,our first conversation,about divorcing,herons_nest
woods at dawn,ankle-deep,in autumn,herons_nest
autumn wind,leaves tripping,over each other,herons_nest
church bells,set off the crows...,all saints' day,herons_nest
autumn night,the growing pile,of incense ash,herons_nest
winter solstice,a foghorn,hunts for the horizon,herons_nest
longest night,the light we add,to our stories,herons_nest
earthrise—,all our precious eggs,in this one basket,herons_nest
moonless night,I look for the beginning,of a ball of yarn,herons_nest
empty feeder,the words I want,won't come,herons_nest
atransient,on the park bench,wintersun,herons_nest
snowbirds,a footprint light enough,for the wind,herons_nest
year of the armadillo—,my daughter's zodiac,in crayon,herons_nest
no guardrail,at the ravine's edge,deep winter,herons_nest
cold nights —,the dog-filled space,between us,herons_nest
tea with my ex,the warmth,of what used to be,herons_nest
pine needle tea,her story,now mine,herons_nest
baby sparrow,the thin line between,falling and flying,herons_nest
duck pond,a toddler begging,for bread crumbs,herons_nest
anniversary,the merging steam,of two cups,herons_nest
just enough breeze,to carry the scent,from the barber shop,herons_nest
daisies...,at last the bee,decides,herons_nest
bone on bone,the gnawing truth,of age,herons_nest
three of us,were wives for a while...,winter moon,herons_nest
from a spark,we lit our first bonfire...,harmattan night,herons_nest
cold moon...,a man and his blanket,on the back pew,herons_nest
in the shade,of a headstone,old snow,herons_nest
one dish,one cup,snow moon,herons_nest
dead leaves,clogging a roof trough...,this grief,herons_nest
winter doorstep,the sun comes back,with a sparrow,herons_nest
swooping pigeon,or a dove,if the spirit moves you,herons_nest
first meeting of the day,sunbeamsgathered,in the conference room,herons_nest
alpine mist...,the raven tells,a creation story,herons_nest
resizing,my dreams,a bonsai forest,herons_nest
grocery store aisle,a young girl straightens,her tiara,herons_nest
butterfly,my sister recalls,our mother,herons_nest
tire swing,a little girl shouts,I'm the wind,herons_nest
I can name that tune,in three notes,redwing blackbird,herons_nest
uncertain where,this conversation is headed—,fireflies,herons_nest
jasmine breeze,her pillow,her cello,herons_nest
For each ancestor,I never knew,a firefly,herons_nest
long warm day,our adopted son,adopts a son,herons_nest
blue hills,the wind seeds,a forest,herons_nest
birdsong,on the breeze,a trace of wild thyme,herons_nest
shade tree,they use their,indoor voices,herons_nest
scent of green tea,in my travel mug,the forest's darkness,herons_nest
twilight,the hermit thrush,now a song,herons_nest
starless silence...,the binary language,of fireflies,herons_nest
blackberry briars,the struggle of a rabbit,in a rusted snare,herons_nest
comes down to shelf life,a billion years,of strata,herons_nest
petroglyph canyon—,nesting ravens,from my past life,herons_nest
cliff top kiva,a cloudburst awakens,the sacred,herons_nest
sultry night,the glide,of his trombone,herons_nest
old wharf,a barnacle tastes,the incoming tide,herons_nest
mortar and pestle...,I crush the voices,inside me,herons_nest
reaching to the back,of the empty mailbox,summer sunset,herons_nest
dregs in our glasses,you lay your day,on top of mine,herons_nest
The mountain,meets me,where I am,herons_nest
rural graveyard,the random placement,of centuries,herons_nest
moonless reef,fishermen untangling,a net of stars,herons_nest
milky way—,a moth searches,lamp to lamp,herons_nest
lost in thought,a mosquito,finds me,herons_nest
prairie sounds,the summer palette,of insects,herons_nest
dry month,darkness flows,into the creek,herons_nest
sudden rain—,the colours,of forgotten things,herons_nest
walking the tracks,the dark history,of a turtle shell,herons_nest
stormsurge,the breakthrough,sndbg,herons_nest
flood aftermath,the tangle of roots,shelter a skeleton,herons_nest
refugee news,I rescue a spider,from the kitchen sink,herons_nest
distant thunder,what's left of summer,splitting on the vine,herons_nest
her boot catching,in a sinkhole,soured hay,herons_nest
evening heat...,the fragrance of,cut cucumbers,herons_nest
tinkling bells,cows bring home,the twilight hour,herons_nest
some of it,goes with the deer,summer fog,herons_nest
birdsong,a morning glory,spirals open,herons_nest
grass bending,at the knee,prairie wind,herons_nest
holding it lightly...,the moon rests,in its crescent,herons_nest
early autumn,a few leaves fall,from his notebook,herons_nest
my quietness,no longer a phase,autumn rain,herons_nest
lifting fog,the wingbeat,of a raven,herons_nest
calling,on a higher power,migrant thrushes,herons_nest
carving,the crescent moon,a calligraphy of swifts,herons_nest
crescent moon,saving the crust,for last,herons_nest
autumnequinox,I find myself looking,inthemirrorless,herons_nest
autumn rain,the river,runs with it,herons_nest
apple harvest,hints of winesap,in the wind,herons_nest
porch corner,leaves the wind wants,saved for later,herons_nest
returning home,how gently the hunter,caresses his dog,herons_nest
freezing rain,the long pause,in all things bird,herons_nest
on pumpkins,still for sale,a dusting of snow,herons_nest
from a distant hill,a bonfire answers,winter solstice,herons_nest
tarnished menorah—,the generations of shadow,and light,herons_nest
waitingroom,a cup of cold coffee,shepouredhot,herons_nest
dust rag,our history,gone in a moment,herons_nest
no words left,the water kettle,keeps whistling,herons_nest
call and response,the sky becomes,two ravens,herons_nest
past curfew,woodsmoke lingers,in the sweatshirt,herons_nest
seed catalog,wanting to believe,in promises,herons_nest
early hours,the hymn of,birdsong,herons_nest
neighbors,for a while...,nestling robins,herons_nest
spoonbill,the gift of a twig,too thin,herons_nest
ruined stone jetty,a school of tiny fish,catches the light,herons_nest
twilight,the frog chorus begins,with a solo,herons_nest
fertility clinic,windshields dusted,with pollen,herons_nest
storm clouds,my dandelions meet,the new neighbors,herons_nest
Earth Day,a child gently,spins the globe,herons_nest
red tag in a cow's ear—,the glow of sunrise,through and through,herons_nest
Navy salute,his funeral wreath floats,down the Mississippi,herons_nest
slanted sunlight,the last painted turtle,slips off the fallen log,herons_nest
gnats...,sometimes,it's the little things,herons_nest
not seeking,enlightenment,fireflies,herons_nest
lightning,without afternoon rain,we pray,herons_nest
rain-bath,shedding the dust,a peacock's cry,herons_nest
drought's end,bourbon,and hailstones,herons_nest
sunset,beyond the curve,of the wineglass,herons_nest
merry-go-round,she waves as,we argue custody,herons_nest
last wisps of dusk,catching bullheads,under the culvert,herons_nest
touch of autumn,a spider wraps,a spider,herons_nest
after they've,all gone home,cicadas,herons_nest
September sunrise—,walking through,the sound of leaves,herons_nest
salvia,the faded plaid,of his shirt back,herons_nest
old home,the light we'd leave,"on, off",herons_nest
beach motel,slices of moonlight,on the empty bed,herons_nest
without stars,only the moon,for an alibi,herons_nest
faster,than the carousel horses—,falling leaves,herons_nest
autumn winds...,I lean into,old habits,herons_nest
old home movie,the sapling,by the house,herons_nest
Christmas morning,a mess of crabapple,in the grosbeak's bill,herons_nest
snow clouds,the whoosh of mute swans,taking flight,herons_nest
calm sea,skipping another stone,in my mind,herons_nest
restless dreams...,a moon's worth,of river,herons_nest
river bend,my line of sight turns,inward,herons_nest
morning stillness,"and yet, the push",of the river,herons_nest
no place,for the moon—,wishing well,herons_nest
milkweed pod,opening it,at home,herons_nest
strung together,by railroad tracks,small town USA,herons_nest
inthewindow,of the derelict storefront,helpwanted,herons_nest
acres of darkness,a broken statue,shares the moonlight,herons_nest
lunar orbit...,around my finger,strands of his hair,herons_nest
slow procession,between the headstones,wild turkeys,herons_nest
discovered again,thepath,Ineverleft,herons_nest
turning in,the widening gyre,a stripped screwhead,herons_nest
geese departing,all the stories,open ended,herons_nest
sleepless night,still bearing the weight,of the casket,herons_nest
bruised ribs—,the maple tree,shows my age,herons_nest
winter solstice,we make love,with our socks on,herons_nest
a weasel slips,through the stone wall—,winter sunrise,herons_nest
the long mirror,hiding nothing,Lent begins,herons_nest
ouija board,the black cat`s eyes,shift to no,herons_nest
don't worry,the other owls,know what it means,herons_nest
still no news,i stir sunrise,into the batter,herons_nest
Holocaust exhibition,fingermarks,on the glass,herons_nest
spring cleaning,brushing the cobwebs,off the broom,herons_nest
new leaves—,the cadet's brass buttons,catch the sun,herons_nest
opening day,a kerfuffle,over peanuts,herons_nest
spring thunder—,a broken rib,in the umbrella,herons_nest
open sky,a pond opaque,with pollen,herons_nest
apple tree,bees halo,the bloom,herons_nest
crossroads,the compass points,to you,herons_nest
silver coins...,the wishes,our well knows,herons_nest
bracken unfurling,along the riverbank,other forms of prayer,herons_nest
sun after rain,ants help a worm,finish its journey,herons_nest
garden path,the catmint,wherever it wants,herons_nest
bamboo,we no longer see,eye to eye,herons_nest
after the village,staircases of stone,sink into the moss,herons_nest
forest trek,old pines absorb,the city inside me,herons_nest
within and without,a redwing's song,winter wheat,herons_nest
redwood coast,the ebb and flow,of summer fog,herons_nest
gated community,the lawns,and their humans,herons_nest
the soft fall,of sun-lit rain,marigolds,herons_nest
tooslow,for our pace of life,gardensnails,herons_nest
tai chi,the stiffness of an onion,near its core,herons_nest
six feet apart,trees meet,in the canopy,herons_nest
breathing in,the wisdom,of wisteria,herons_nest
orchid throats,the scent of smoke,from a controlled burn,herons_nest
my sixteen tonnes,of carbon footprint,water striders,herons_nest
recycling day—,shaking pill bugs,from a beer can,herons_nest
country drive—,flocks of clouds graze,in a bluegrass sky,herons_nest
silent retreat,I walk a pebbled path,to the waterfall,herons_nest
prairie,listening for the rattle,of my fears,herons_nest
dry fields...,rice planting songs,lost in the wind,herons_nest
fireworks,fireflies forgotten,in the jelly jar,herons_nest
the peppers,never so green,thunder sky,herons_nest
sheet lightning,my grandmother passes down,her love of storms,herons_nest
desert sunset,a sidewinder's curves,across the dunes,herons_nest
mesquite shadows,on the ochre cliff,I add my own,herons_nest
hot summer...,the fig beetle,encased in fruit,herons_nest
moon flower,the night garden,fragrant with light,herons_nest
blackberry wine,a starry night,in each sip,herons_nest
closed hibiscus...,remembering her in,the noonday sun,herons_nest
dusk,light dies in the heart,of sunflowers,herons_nest
just before dusk,the big yawn,of their old house,herons_nest
watching sunset,pink the sky,my bait sinks,herons_nest
driving all night,the weevil,deep in the flour,herons_nest
no way,around the problem,wild blackberries,herons_nest
daybreak,blueberries purple,the pancakes,herons_nest
the rain,in his hands,a hatful of green tomatoes,herons_nest
the shampoo bottle,turned upside down,last day of summer,herons_nest
the whole tree,swinging with her,summer's end,herons_nest
no one,at the lemonade stand,cicada song,herons_nest
gathering the sky,around them,swifts in flight,herons_nest
shared silence,the fire sends a spark,into the stars,herons_nest
embers pulsing...,one by one old friends,fill my mind,herons_nest
trail's end,the wind continues,between the pines,herons_nest
wreath-laying day—,all the Veterans who served,beyond the hills,herons_nest
migrating sandhill cranes,the wingbeat,of a straggler,herons_nest
Glacier Bay,the echo of gulls,off ancient ice,herons_nest
suburban gardens,the scrub turkeys,scratch out a living,herons_nest
snowless Christmas,we exchange gift cards,of equal value,herons_nest
New Year's Day—,giving the etch-a-sketch,a good shake,herons_nest
everything,before and after,the afterbirth,herons_nest
empty tea pot,our conversations,over the years,herons_nest
easing into,the hot tub,falling snow,herons_nest
every poem,a masterpiece,my lost notebook,herons_nest
we have,no way of knowing,black ice,herons_nest
superhero jammies—,melting the frost,with his fingertips,herons_nest
settling,in your chair,winter sunlight,herons_nest
desk drawer,a soft brush,from the blue feather,herons_nest
reading of the will—,I get my father's,sense of humor,herons_nest
ghost pepper,I become,the other woman,herons_nest
two teeth left,in the crumbling skull,first snowdrops,herons_nest
snowdrops,pushing through frost,first communion,herons_nest
a robin's,low bow,sunset,herons_nest
burble of rain,in the downspout,her obit,herons_nest
except,for the lilacs,vacant lot,herons_nest
on top,of everything,pollen,herons_nest
walking backwards,my footprints,in the dew,herons_nest
a breeze,through the long grass,white tips of goats' ears,herons_nest
pronoun decision,the gender of a squash,blossom,herons_nest
sounding the depth,of this darkness,spring peepers,herons_nest
departing spring,hardly any sky,left in my tree,herons_nest
blue sky,the what if,of whitecaps,herons_nest
same old argument...,the path divides around,a single trunk,herons_nest
dragging zen,into the argument—,garden stones,herons_nest
forest floor,the fallen branch,a lichen garden,herons_nest
scribbly gum—,this urge to doodle,in cursive,herons_nest
hammock,the tree sways,through me,herons_nest
diving,bell,silence,herons_nest
at last...,the textured song,of rain,herons_nest
slow day,he whittles away at,my self-esteem,herons_nest
a long ride home,rainlosing,itsshape,herons_nest
corn country,the silo that holds,the missile,herons_nest
afternoon sunlight,cascading through the reed bed,the trills of warblers,herons_nest
the bare backs,of carousel horses,summer's end,herons_nest
falling star,wishing,I'd told you,herons_nest
this yearning,for homeland,salmon run,herons_nest
hearing,my father's voice again,day moon,herons_nest
waxing moon—,first time he says,his name,herons_nest
taking her own,sweet time,morning glory,herons_nest
incoming waves,an old stick,finds its way home,herons_nest
endless blue,the anchor,of a day moon,herons_nest
working from home,I write a memo,to the moon,herons_nest
morning paper—,still in my robe I'm the talk,of the crows,herons_nest
the buck and I,choose sides,autumn road,herons_nest
what if it's a boy,what if it's a girl,peat fire,herons_nest
Autumn afternoon,the long scrolling,to find my birth year,herons_nest
cold snap—,the garter snake deep,in the woodpile,herons_nest
finding his voice,my son fills the sky,with starlings,herons_nest
nursing home,dad disappears,behind his eyes,herons_nest
blizzard...,coping w th,a broken key,herons_nest
the cat grooms the dog,another day,below zero,herons_nest
