line_1,line_2,line_3,source
in from the cold,just one sugar cube more,in my coffee,tempslibre
drawn in by the smell,of fast food and vinegar,this october sun ,tempslibre
first juice,a lone wasp explores,the apple press,tempslibre
first buttercup,three lines of coke,on the kitchen table,tempslibre
chrysanthamums,the homeless girl pulls,her baby closer,tempslibre
tube ride,someone else's iPod,is playing our tune,tempslibre
 too hot to sleep,i search for my son's footprint,in the front drive,tempslibre
working late,the sound of a small brown moth,in the lampshade,tempslibre
hedgerow birds,three boys share a spliff,by the school gate,tempslibre
sunshine and snow,the boys in the reserves,watch the letterbox,tempslibre
needle exchange,sharing a breakfast drink,in Museum Square,tempslibre
mayflowers,three small boys track down,terrorists,tempslibre
boy's bedroom,a blackbird's nest,found deep in the lilac,tempslibre
teeth in a glass,the nurse takes away his pot,of blue hyacinths,tempslibre
chilled by spring winds,schoolgirls sniffing body spray,behind the gym,tempslibre
a lost child,in a ward of iron lungs,her daffodils,tempslibre
almost home,the full moon between,two houses,tempslibre
afternoon tea --,the old climbing rose,somehow whiter,tempslibre
winter wonderland,even the burnt out car,looks beautiful,tempslibre
almost Christmas ~,thinking how best to reveal,that dad beats mum,tempslibre
circle time,she describes her mother,finding a vein,tempslibre
sun rising,suddenly the sumac,bursts into flame,tempslibre
the moon,not quite full,but full enough,tempslibre
Wedding Day -,in the bride's eyes,the groom's smile,tempslibre
imagine,a field of dandelion fluffs,before the wind ,tempslibre
midnight rain?,now every minute,"the grass, greening",tempslibre
the cold cry,of a magpie?,first light of day,tempslibre
winter driving,almost blinded,by a sun-dog,tempslibre
sun's rise,the voices of crows,lift it higher,tempslibre
Canada Day,this country and I,aging together,tempslibre
ocean playground,the way memories come and go,with the tide,tempslibre
endless winter,more soft snow as we await,a new grandchild,tempslibre
under snow,the same earth,waiting waiting,tempslibre
tulips buried - ,the soft silence,of April snow,tempslibre
from Hiroshima,to Sendai . . .,so much just gone,tempslibre
snowstorm,too many flakes,for haiku,tempslibre
lengthening days,I turn the Christmas lights,off,tempslibre
perseid shower,the intake of her breath...,another contraction,tempslibre
my grandfather's sword...,the impenetrable silence,of falling snow,tempslibre
dull afternoon...,even the fresh snow,is tinted grey,tempslibre
late winter snow,a distant train whistle,cuts through my silence,tempslibre
raindrops plop,into my coffee cup,summer rain ,tempslibre
cold May moon...,the long road stretches,out of sight ,tempslibre
overcast night,maybe the stars burn brightly,over Gaza,tempslibre
chatter of joggers . . .,the heron and I,motionless,tempslibre
breathing deeply . . .,that smell of woodyards,in the rain,tempslibre
new snow,I almost forget,our quarrel,tempslibre
the stone bullfrog,under the bird feeder,just sits,tempslibre
my pregnant daughter,watches,the stone bullfrog,tempslibre
high tide,yesterday's footprints,gone,tempslibre
customs' declaration -,only the memory,of eucalyptus,tempslibre
customs' declaration -,determining the value,of new haiku,tempslibre
bonfire's glow,my niece cups her hands,around a firefly,tempslibre
Awake ,Smell of rain ,two new haiga,tempslibre
sound of the rain -,penetrating my sleep,at dawn,tempslibre
police watch the crowds,at children's carnival,the horse's teeth,tempslibre
door slam,the rumble of thunder,louder,tempslibre
hurricane warning,the wildflowers,without butterflies,tempslibre
 drowned,in the sound of the rain,other familiar sounds,tempslibre
first date,not even noticing,the new moon,tempslibre
coffee cold,she clips the obituary,from many papers,tempslibre
ancient stone circle,the flow,of a robin's song,tempslibre
her skin,pale in the moonlight,ebb tide,tempslibre
behind net curtains,her face glides from window,to window,tempslibre
in the attic,the sound of march rain,so much louder,tempslibre
hot day--,the cool inside,an apple,tempslibre
her small fingers,tightly grip the pencil,--writing her new name,tempslibre
house for sale--,the dandelions allowed,to bloom,tempslibre
heat lightning,the weight ,of a sparrow,tempslibre
dry spell -- ,dead-heading ,wild roses ,tempslibre
insomnia,the rat trap,snapping shut ,tempslibre
commuter traffic,cow's breath through,the cattle truck slats,tempslibre
coastal fort,a spider catches,the breeze ,tempslibre
dry stone wall,hill mist fills,every gap,tempslibre
thunderstorm,the smell of a moor,embracing the rain,tempslibre
border crossing,the swallows feed,on both sides,tempslibre
calling to,street sparrows,a caged bird,tempslibre
spring mist,the magpie,monochrome,tempslibre
mountain mist,leaving a snowball,on top of the cairn,tempslibre
pensioners walk,the slow drip of rain,from the thatch,tempslibre
sheets of rain,the night has no answer,for a bleating lamb,tempslibre
lengthening days,turquoise deepens,on a starling's breast,tempslibre
empty house,painting over,the growth mark wall,tempslibre
Indian summer,the sweeping can wait,for another day,tempslibre
roman road,I carry the dust,further north,tempslibre
making love,passionately all night ,the sounds of traffic,tempslibre
seed catalogues,in the mail daily--,morning snow fluries,tempslibre
Sunday best,his overalls,washed and ironed,tempslibre
conformation,the steady drip...drip...drip...drip...,of maple sap ,tempslibre
the wolf howl lingers,fades into the night's,eerie silence,tempslibre
winter temptation--,in the seed catalogues,perfect tomatoes,tempslibre
Minnesota cold,even motorcycles,hibernate,tempslibre
invasive species,my barber points out,my first white hairs,tempslibre
Zen garden,after each storm,a clean slate,tempslibre
cheap motel,the desk clerk,turns a blind eye,tempslibre
cold night,the hallway nightlight,flickers on and off,tempslibre
heavy rain--,the rotten boat ,tries to float again,tempslibre
heavy rain--,in the farm belt,barbershops fill up,tempslibre
desert landscape,rain will come and the water...,remembers each path,tempslibre
heavy rain--,the old rubber boots,not tall enough,tempslibre
heavy rain--,my flower seeds sprout,in the neighbor's yard,tempslibre
small town café,only strangers,get menus,tempslibre
storm warning...,a street corner argument,turns many heads,tempslibre
spring,a few blocks closer,than yesterday,tempslibre
first day of spring,stubborn icicles ,still hang on,tempslibre
early frost,they postpone,their wedding,tempslibre
evening voices,the window curtains,flutter,tempslibre
winter solstice--,her passing,bends the candle's flame,tempslibre
lakeside,the fog makes the loon's call,much more haunting,tempslibre
river road,he stops to buy,a can of worms,tempslibre
the moose grunts.again.,the nylon tent walls,seem thinner,tempslibre
steady rain~~,she rants about her boss,all through supper,tempslibre
first frost warning -,she no longer,pours his coffee,tempslibre
afternoon card parties,the rumor mill's,farm system ,tempslibre
recycling--,old stories get a new twist,at the rumor mill,tempslibre
city hall scandal,the town's rumor mill,adds a third shift,tempslibre
mid April,even in the shadows,the ice melts,tempslibre
avalanche warnings -,more tails of rain,and radiation ,tempslibre
winter returns,one stubborn maple still drips,ever.so.slowly,tempslibre
head cold -,running out of tissue,before noon,tempslibre
patience.,on the dock he sits beside,a can of worms,tempslibre
early storm warning,he sends the kids,to the neighbors,tempslibre
thin ice,he critiques her gravy,in front of the guest,tempslibre
a hint of autumn ,that slight pause before she plucks,her first gray hair,tempslibre
sweltering heat,the cicadas buzz louder,during her hot flash ,tempslibre
right turn,the clink of church keys,at the tea party,tempslibre
fall migration,custom combiners harvest,their way north,tempslibre
mid February,the first garden seeds display,at the hardware store,tempslibre
early sign of spring,snow shovels become,half-priced sale items,tempslibre
dark days of winter,the dentist explains his,payment plans,tempslibre
new age Luddite,he buys a dozen,paperback books ,tempslibre
dark days of winter ,the flat screen Christmas Yule Log,burns bright in HD ,tempslibre
dark days of winter,another mailbox loses,to the snowplow,tempslibre
dark days of winter,at my office window,I watch the sunrise,tempslibre
portage trail,voyageurs walked where I walk,ancient granite,tempslibre
opening fishing,fancy lures ,catch branches too,tempslibre
small town -,the welcome wagon,slowly rusts away,tempslibre
thick river ice,his message in a bottle,hasn't moved an inch,tempslibre
early march snowstorm,his kite hangs from the ceiling,gathers dust,tempslibre
Presidents' weekend,all that dirty laundry,sorted by mothers,tempslibre
desert highway,in the rear view mirror,blue flashing lights,tempslibre
lonesome train whistle. . . ,suddenly grandpa's mind,becomes sharp again ,tempslibre
giant moon.,all neighborhoods share,the same yard light,tempslibre
young lake ice sings,a tune more ancient,than footprints,tempslibre
crossroads ~~,"each ""O"" in stop",has bullet holes,tempslibre
deep April snow,robins fight over,dried up crab apples ,tempslibre
Spring rain-,"after ""Dear Ed""",the paper still blank,tempslibre
tornado alley,the debris includes,foreclosure signs,tempslibre
old mill town,each company house,a carbon copy,tempslibre
long winter night,after chapter six,the tea is cold,tempslibre
first cold snap,all the quilts,still at the cleaners,tempslibre
Christmas morning,grandpa explains that yo-yos,don't need batteries,tempslibre
moonless night-,out on the island someone,lays on the horn,tempslibre
harvest moon--,in the heartland her laughter,still fills the kitchen,tempslibre
ebb tide-,they suddenly have,cold feet,tempslibre
false hope,a film of oil carries,bent rainbows downstream,tempslibre
drip.drip.drip.drip.drip.,the anticipation,of maple syrup,tempslibre
new March snow,the grouse with a missing toe,still around,tempslibre
quick mid-winter thaw,each icicle drips,at its own pace,tempslibre
solo trip,in the campfire smoke,old memories,tempslibre
morning fog,the bluebird's call,clearly audible,tempslibre
night shift--,in the parking lot car lights,dim near morning,tempslibre
rabbit trail,nothing but ears,above the snow,tempslibre
lingering cold...,the last jar of maple syrup,on the cupboard shelf,tempslibre
a dry new year,december snowman begins,to show his age,tempslibre
august wind,on the dock seagulls,stand on two legs,tempslibre
georgia peach,sweet cream and wrinkle remover,in the shopping cart,tempslibre
road closed,moose tracks continue on,local traffic only,tempslibre
strong winter wind,bits of Batman kite wings,fall from the tree,tempslibre
in the orchard,rotten apples now crunchy,winter solstice,tempslibre
strong wind,back and forth on lake ice,streetlight reflections,tempslibre
homework --,after the school bus passes,a spider rebuilds,tempslibre
sultry afternoon,only the mailbox shadow,crosses the dirt road,tempslibre
black hole,near beaver dam a whirlpool spins,autumn leaves vanish,tempslibre
long journey back home --,a forgotten bale of hay,slowly rots away,tempslibre
strong April wind,the smell of Iowa hogs,in Minnesota,tempslibre
afternoon escape,within the prison walls,a library,tempslibre
Christmas dinner,grandma's fruit cake attracts,only blue jays,tempslibre
Afternoon rain;,Scents rise,From the garden.,tempslibre
A spring morning;,The pond's surface blurred,By raindrops.,tempslibre
night of snow -,a log settles deeper,into the embers,tempslibre
winter solitude;,steam rising,from my sake cup,tempslibre
early winter -,yellow windows,in the blue dawn,tempslibre
loneliness; ,the trail of a raindrop,down the pane,tempslibre
in the treetops,"lingering,",remains of the day,tempslibre
autumn evening -,the silence,of ripe pears,tempslibre
another birthday,under the same,October moon,tempslibre
unknotting ,the hammock ropes;,the scent of burnt leaves,tempslibre
the spider hanging in its web,doesn't care,the world is upside down,tempslibre
windy day;,the first flurry,of leaves ,tempslibre
"after the storm,",floating -,the tranquil moon,tempslibre
her name on the marble;,"birth and death,",the space between,tempslibre
lonely evening;,thunder,rattles the windows ,tempslibre
taking a breather;,the rustle ,of poplar leaves,tempslibre
pale moon -,the sun-bleached bones,of a sparrow,tempslibre
stepping out,for another log -,"ah, the stars!",tempslibre
midwinter -,rain blurs the other side,of the valley,tempslibre
day long rain -,my breath,fogs the window,tempslibre
sake clear,to the bottom of my cup -,winter stars,tempslibre
midwinter slush;,the gray breast,of a chipping sparrow ,tempslibre
cold rain -,the bus pulls back,onto the highway,tempslibre
early snow -,one more winter,for that old horse,tempslibre
cold night -,stars so near,we speak in whispers,tempslibre
stone Jesus,with outstretched arms -,the falling snow,tempslibre
starry night -,out on the highway,a truck changes gears,tempslibre
day-long rain;,I organize,my watercolors,tempslibre
autumn woods -,the smell,of last night's rain,tempslibre
abandoned by geese,heading south -,my autumn birthday,tempslibre
late summer -,copper wishes collect,in the bottom of the well,tempslibre
sultry day -,the tumult of rain,on my umbrella,tempslibre
a hole in the meadow -,lowering,the farmer's body ,tempslibre
lone guest gone –,the ticking ,of the parlor clock,tempslibre
"in the darkening yard,",the sun strikes ,the cockscomb’s red,tempslibre
between the treetops,and bright stars –,puffs of white clouds drift,tempslibre
late night,with Ryokan –,I warm the rice wine,tempslibre
held together,by its label –,a crushed whiskey bottle,tempslibre
"whatever the weather,",his soft smile – ,the buddha in the garden,tempslibre
worn in places,to the bare wood –,the golden buddha,tempslibre
travelers still catch,the Greyhound there –,the boarded up diner ,tempslibre
rain at graveside –,mourning clothes,soaked a deeper hue,tempslibre
after the burial –,a day moon,rising,tempslibre
he looks perplexed -,"the scarecrow,",chest deep in the river's flood,tempslibre
zazen -,the hum,of the Fridgidaire,tempslibre
bridge night -,trying to remember,our last passionate kiss,tempslibre
flag ceremony -,the old vet's uniform,hangs loosely,tempslibre
between Cassiopeia,and me -,fireworks!,tempslibre
lilac shadows,scale the garden wall;,slip off into the woods,tempslibre
full moon -,even the dilapidated barn,looks majestic,tempslibre
mountain rain -,the beetle and i,scurry for cover,tempslibre
snowmelt -,the garden blooms,with children's toys,tempslibre
love letters -,i rake the embers,of the fire,tempslibre
camellia buds -,my wife begins,to cradle her belly,tempslibre
a second glass of wine -,the poem goes,unwritten,tempslibre
credit crunch -,a half-dozen fireworks,greet the new year,tempslibre
head cold -,missing the scent,of winter heliotrope,tempslibre
new highway -,every mile or so,the corpse of a buzzard,tempslibre
september morning -,fresh flowers,on the roadside shrine,tempslibre
night fishing -,my rod-tip brushes,the milky way,tempslibre
traffic lights -,just enough time,to scribble a poem,tempslibre
midwinter dusk -,oak branches fracture,the western sky,tempslibre
autumn lake -,half-hidden by drifting leaves,a carp's bronzen flanks,tempslibre
autumn chill -,struggling to remember,my father's voice,tempslibre
september rays -,my son's shadow,lengthens,tempslibre
old woman,carrying her bags,spring wind ,tempslibre
a skein of birds,twines across the sky,the northbound train departs,tempslibre
dawn chorus begins,I reach for,the snooze button,tempslibre
new buds,on old branches,once again,tempslibre
crackling campfire,the comet's tail,streams toward morning,tempslibre
rainy day--,the pine cones close,one by one ,tempslibre
awoken by thunder --,fading into the call,of the imam,tempslibre
"Seafood tank,","Lobsters move slowly,",Far from Maine.,tempslibre
a butterfly,over the bouquets...,I tune out the speaker,tempslibre
the damaged pages,of an old history book –,war in Ukraine,tempslibre
senior's home,we celebrate the new year,a 7:00 pm,tempslibre
roadside rest stop,he adds a haiku,to the graffiti,tempslibre
dull pencil,the staff meeting goes,on and on,tempslibre
A snowy footbridge,the sound of water,under the ice.,tempslibre
under the oak,blue feathers,black cat,tempslibre
thunder storm--,on the sidewalk,earthworm slick,tempslibre
sudden thunderstorm-,open umbrellas flower,in many colors,tempslibre
night breeze,carries a moth,to the moon,tempslibre
lonely butterfly,in the quiet morning light,where are you going?,tempslibre
quiet dawn-,in the oak tree,mourning doves,tempslibre
Indian summer,turkey feather falling,just out of reach,tempslibre
Tropical storm warning,Wet sand in our kisses,The opening sky,tempslibre
first time--,your curly hair,tickled my thighs,tempslibre
tornado,in the wreckage,a bird sings,tempslibre
Walking,quiet thunder,spring rain ,tempslibre
Balloon floats,Over garbage truck,Party is over,tempslibre
looking at the sky,dandelions with haircuts,"oh, that wind, that wind",tempslibre
summer afternoon,the scent of evergreens,slowly spreading,tempslibre
Autumn night --,Puddles by the wayside,filling with the stars,tempslibre
Orange sunrise peaks through,The tubes and wires of father's,Life support machine,tempslibre
autumn morning,the smell of fresh rain,in my coffee ,tempslibre
hunter's moon,the old tabby,refuses to come in,tempslibre
north winds –,snow flakes and,the smell of smoke,tempslibre
father and son,one more story added to,the sandcastle ,tempslibre
waiting room,the raindrops meld,on the window panes ,tempslibre
public holiday,dogs off leash exploring,around the lake ,tempslibre
old photo,remebering her love,for hats ,tempslibre
highway 10,we drive towards the rainbow,in single line ,tempslibre
out of control,his sled and he go down,separately ,tempslibre
intermittent light,the firefly never,where I expect it ,tempslibre
honeymoon site,grandmother revists,by herself,tempslibre
maple tree,the scars,of its healings,tempslibre
seeds catalogue,in the mail,the spring in hand,tempslibre
late rising moon,fireflies decorate,the tamarind tree,tempslibre
moving day,my life,reduced to boxes,tempslibre
her famous blue haiku,about her divorce,and his cactus,tempslibre
morning sun,the crumbs on the table,have a shadow,tempslibre
guitar and harmonica,in my car bob dylan also,is still 20,tempslibre
a morning haiku,exhaled,in a breath cloud,tempslibre
tinnitus several octaves higher in the key of Om,,,tempslibre
rainstorm,ants drink,from a droplet,tempslibre
meteor watching --,a match lights up,an unknown face,tempslibre
monsoon-,on the window a leech climbs,the himalayas,tempslibre
shortest day,birds at the feeders,dawn to dusk,tempslibre
forest vines,have seized the steering wheel,crow’s caw ,tempslibre
shade of the church,she says she’ll show me hers,if I show her mine ,tempslibre
autumn leaves,I add orange peel,to the potpourri,tempslibre
ring around the moon,this uninsulated,hotel room,tempslibre
maternity ward,hard looks when I shake,the gumball machine,tempslibre
dripping headstone,inscription for a ship’s crew,lost at sea,tempslibre
bones buried in the yard,snow on the roof,of the old doghouse,tempslibre
tide pools,a plastic bottle full,of sea water,tempslibre
hors du bordel,the gentleman chooses,a fresh boutonniere ,tempslibre
autumn equinox,the third quarter profits,just pay off the farm loans,tempslibre
vigil,kerosene lamp growing dim,in the light of dawn,tempslibre
mating season,two radiators making,one cloud of steam ,tempslibre
raining--,last night's baked chicken,tonight's curried soup,tempslibre
beginning of winter,the snow piled high,on the lawn chairs,tempslibre
graded papers,suddenly the rosebush,blooming,tempslibre
void encroaches,as vision vanishes:,glaucoma wins,tempslibre
this heat --,a butterfly carries soot,from the train tracks,tempslibre
glowing,over the city dump,Harvest Moon,tempslibre
autumn rain --,refinery lights remind me,of Christmas,tempslibre
"topless,",the skyscraper,in rain mist,tempslibre
fading light -,the stone steps brighter,than the foliage,tempslibre
sundown,summer evening melts in dark,fragrance of tea~,tempslibre
misty summer rain,calling pheasant,in Zen temple,tempslibre
a wild violet,on the sunny hill~,noon time nap,tempslibre
Spring equinox,Pray the ancestor grave,In cold rain,tempslibre
a murmur,of hot air rising,old gossips,tempslibre
crisp morning,rhubarb and brown sugar,in the oven,tempslibre
lingering frost,the unspoken words,between us,tempslibre
venus in the morning sky,at the blue rain barrel ,a doe stops to drink,tempslibre
in a bowl,that survived last night’s earthquake,placing my wedding ring,tempslibre
his eyes,watching their eyes,watching her,tempslibre
spring cleaning --,a family of raccoons,empties the goldfish pond,tempslibre
campfire embers,one firefly,lights our tent,tempslibre
twilight,in the Chinese lantern,a glowworm,tempslibre
sleepless night,a square of moonlight,crosses the room,tempslibre
night watch,in the sheperds eyes,a flock of stars,tempslibre
crescent moon,a new path,to scatter seeds,tempslibre
Country cemetery,snail on corroded tombstone,trails from A to O...,tempslibre
Ancient roman ruins,along both sides of the road,white jet trail above...,tempslibre
Sky dewed with stars,cool air listening in news,a man was hanged.,tempslibre
foggy glasses . . .,   a blurry paragraph,       above the bath water,tempslibre
new year's day . . .,     spent bottle-rockets,           in the road,tempslibre
wolf prints . . .,  the gas lantern,     splutters,tempslibre
novocain prick--,the warmth where,the dental nurse leans,tempslibre
the smell,of many campfires,in this old hunting shirt,tempslibre
cinco de mayo,horses roll,in the shallows,tempslibre
vanishing difference . . .,  gliding geese settle onto,    their reflections,tempslibre
folding chair,the newborn colt tries,to stand,tempslibre
damp straw . . .,   the day-old colt mesmerized,       by the radio,tempslibre
prying,   at the window . . .,       wind,tempslibre
silhouette. . .,  a shining snow path to,     a pale moon,tempslibre
hillside thunder,barely a rainbow in a plume,of smoke,tempslibre
morning camp,only an ember remains,but it's enough,tempslibre
storm warnings . . .,sunday afternoon by the fire,mail from an old friend,tempslibre
leftover summer grass,... horses browse,through crusted snow,tempslibre
old leather saddle,cherry colored and shiny,smells of horse,tempslibre
the same moon,shines on us both --,these cold sheets,tempslibre
last leaves,shaking on a branch,late migrators,tempslibre
Back from the garden :,"lots of beans, zucchini",and a haiku,tempslibre
greyness –,of the chocolate fish,crunching a bite ... ,tempslibre
retirement home,my mother talks to me,about the one with the gray hair ,tempslibre
under the red trees,from the busty blonde,the perfume ,tempslibre
this autumn morning,in the mirror,my father ,tempslibre
old church wall,maidenhair fern,climbing to heaven,tempslibre
rooftop firepit,sparks mingle,with the stars,tempslibre
winter moon,"the cold, clear, clanking",of train cars,tempslibre
Standing silently ,In autumn rain,The old cypress,tempslibre
tuning out the news,on the back porch,barn swallows ,tempslibre
pale sunrise,outside the quiet house,yellow rose blooms,tempslibre
winter sunlight,on rumpled linen,those slow hands,tempslibre
jasmine,beneath the stars,his blue eyes,tempslibre
wine sapped moon,the distance beyond,her lover's wife ,tempslibre
ferocious storms,wakened by the wet,of a dog tongue,tempslibre
winter sun,the slow drip-drip,of an icicle,tempslibre
starry night,a million words,unspoken,tempslibre
the last of the boxes,finally moved out,cloud covered sunset,tempslibre
handing off the keys,a chill wind hustles,the end of April,tempslibre
all the birds,unnamed on the fence,spring rain,tempslibre
labor day,and still,no labor,tempslibre
open jalousies,the missing scent,of his cologne,tempslibre
wine moon,the heat in the kitchen,so close,tempslibre
sunny afternoon,sand swept,behind the door,tempslibre
middle of the night,on a wicked wind,passing news,tempslibre
morning stillness,a bird song,I've never heard before,tempslibre
sunday sermon,children's voices ,mix with the choir,tempslibre
Mother's Day,everytime,she calls,tempslibre
heavy rain,a darkening sky,behind her face,tempslibre
Sunday afternoon,bittersweet chocolate,and swapped addresses,tempslibre
Sunday dusk,a last wine bottle,piled in the trunk,tempslibre
Boston news,a crazy day and yet,that butterfly,tempslibre
dockside fight,french fries in a pile,of seagulls,tempslibre
habemus papam!,I've always loved,Latino men,tempslibre
internet break,the smell of rain,and boggy earth,tempslibre
shortcut. . .,the railway tracks,still vibrating,tempslibre
past midnight,public television,lights up the room,tempslibre
warm drizzle,cinnamon buns,and tea for two,tempslibre
distant thunder,a whiff of,foreign perfume,tempslibre
autumn morning,dew-drops dripping,from a cane pole,tempslibre
autumn sun,hidden in the flower bed,mushrooms,tempslibre
Indian summer,the baby in the back seat,mine for a week,tempslibre
waning moon,my parents visit,comes to an end,tempslibre
morning mist,his wallet and keys,missing again,tempslibre
making a u-turn,clear in the rear view mirror,autumn afternoon ,tempslibre
graveside service,slipping from Grandma's book,pressed wildflowers,tempslibre
middle of the night,my fingers tick tick ticking,a hot flash haiku,tempslibre
"hot, humid day",a jazz station plays,cool tunes ,tempslibre
night watch,the ex boyfriends house,on google earth,tempslibre
autumn wind,another  leaf flutters,from the pile,tempslibre
standing alone,under a double,rainbow,tempslibre
summer rain,the missing scent,of cologne,tempslibre
summer twilight,push mowers stop,for crickets,tempslibre
this sense,when first we met—,blue hyacinth ,tempslibre
predawn crows,—I argue ,with my therapist,tempslibre
climbing rose,the cut marks,on his wrist,tempslibre
drying shed—,a hint of thyme,in the onions,tempslibre
long blue tail,of a damselfly,kite festival,tempslibre
sun striking,the hour glass—,spring equinox,tempslibre
the weight,of the muddy river,jerry-can on her head,tempslibre
morning fog,in the mangroves,temple gong,tempslibre
first rinse of the rice,a wild scurry,of clouds,tempslibre
silent flight,of a raptor,your breath on my neck,tempslibre
summer sun,each spoonful,a taste of cayenne,tempslibre
far side ,of the moon—,that stolen kiss,tempslibre
wood knot,in my pocket—,fog over water,tempslibre
a long wooden pier,at the end,a glimmer of light,tempslibre
red moon,the calligraphy,of charred trees,tempslibre
the bent nail,where garlic hung . . .,winter moon,tempslibre
heat haze,the miles,of boundary fence,tempslibre
a few notes,from an untuned piano... ,autumn rain,tempslibre
old pond,oil slick rainbows,slip in ,tempslibre
temple looting,another buddha,loses his head,tempslibre
white dawn,a moon crab sinks back,into sand,tempslibre
winter beach,i throw a stick,for no dog,tempslibre
beer garden table,the blurred edges,of many circles,tempslibre
retirement home —,the same pot of coffee ,sitting all day,tempslibre
Saturday morning drizzle . . .,a driving lesson ,with my dad,tempslibre
after each haiku—,the pencil,a little shorter,tempslibre
cup of tea ---,the moon still,until i sip it,tempslibre
fresh sawdust,among the birches --,his bent shoulders,tempslibre
discarding,the tea leaves--,distant thunder,tempslibre
scent of roses --,counting the stars,one by one,tempslibre
thunderstorm --,a shadow pauses,at the gate,tempslibre
autumn moon ,the burn of the whiskey ,you left behind,tempslibre
in the churchyard,where my father found god ,bruised apples,tempslibre
forgetting his voice,my dad’s apology letter ,crackles in the fire,tempslibre
dad's suicide ,a candle burns away,its shadow ,tempslibre
slow dancing --,snowflakes swirl to the sound,of silence,tempslibre
dead of winter,blossoming in the darkness,my breath ,tempslibre
midnight coffee,a spoonful of sugar,stirred into the darkness,tempslibre
sleepless night -,in the distance,midnight express,tempslibre
visakha moon,smell of incense,from another room ,tempslibre
Indian summer-,farmer's,cracked lip,tempslibre
starry night. . .,counting out my pills,for chemo,tempslibre
approaching storm,the first stirring,of trembling leaves,tempslibre
Mississippi,between the covers,I sail with Huck Finn,tempslibre
after the rush hour ,at the intersection ,only rain,tempslibre
prisoner C.3.3,some see the gutter,others see the stars ,tempslibre
night train ,a stranger and I ,synchronise watches…,tempslibre
midnight,the steady rhythm,of her IV drip,tempslibre
midnight...,the memory of your heartbeat,next to mine,tempslibre
ultrasound... ,the absent heartbeat,of their unborn child,tempslibre
before,the coming of bees...,magnolia,tempslibre
hospice garden ,he takes her for one more turn ,around the daisies ,tempslibre
moving day... ,all that remains,of our youth,tempslibre
again and again ,for her unborn child ,a lullaby ,tempslibre
rainbow...,she brings me her pencils ,to sharpen,tempslibre
birthday boy...,a finger in too many,pies ,tempslibre
intensive care ward,the language ,of eyes,tempslibre
moonglow...,again this trembling,at his touch,tempslibre
rain on the roof,I breathe in the scent,of old leather,tempslibre
morning exercise ,a cloud of vapour ,as the saddle slips off,tempslibre
rain on the roof ,I breathe in the scent ,of old leather,tempslibre
first cuckoo... ,a slight hesitation ,in the nun's prayer,tempslibre
fading beauty...,once more she paints,over the cracks,tempslibre
In the half-light ,my pen hovering ,above the paper,tempslibre
a constant flick,of the stallion's tail...,Indian summer ,tempslibre
solitude,"so close, too far",to taste the sky ,tempslibre
all that is left ,of summer... ,driftwood,tempslibre
deep sleep... ,the rise and fall of ,his dragon tattoo,tempslibre
storm warning,a third gull lands,on the bell buoy,tempslibre
lighthouse...,the bright red flashes,of puffins' beaks,tempslibre
gone...,the space between us,filling with wind,tempslibre
ebb tide,giving and taking,a yellow plastic spade,tempslibre
white light,from shore to shore,even the heron has flown ,tempslibre
moving in...,a child's growth in inches,under old wallpaper,tempslibre
the hush of snow,coffee bubbling on grandpa's,pot-bellied stove,tempslibre
a funeral pyre,of autumn leaves,winter moves in,tempslibre
approaching storm,the last magpie,takes flight,tempslibre
shifting light,the grey heron and I,in deep reflection,tempslibre
after the rush hour,at the intersection,only rain,tempslibre
December morning,the scent of coffee beans,and cinnamon toast,tempslibre
boys on the town,which statue will wear,a traffic cone,tempslibre
hospice tea...,for a moment Mother,remembers my name,tempslibre
summer love,a sudden blush,on her pallid cheeks,tempslibre
into the silence,the piercing wail,of the night express,tempslibre
the racing heart,of a startled deer...,blood moon,tempslibre
midnight...,the steady rhythm ,of her IV drip,tempslibre
storm warning...,the first rustle,of trembling leaves,tempslibre
midsummer night,the scent of woodsmoke,drifting through laughter,tempslibre
ploughing contest...,the farm horse wearing,a scarecrow's hat,tempslibre
derelict house,but with the morning,sunshine,tempslibre
shaking sky...,in the wheatfield,a scurry of mice,tempslibre
autumn languor,the soft shadows,of dying roses,tempslibre
summer picnic,my daughter's shadow,wearing daisies,tempslibre
tinnitus...,for me alone,cicada song,tempslibre
monsoon...,beyond the rush of sound,the silence of birds ,tempslibre
deep into winter... ,the remembered scent,of lemongrass,tempslibre
on the far side,of early morning silence,a gathering of crows ,tempslibre
whole day,at the department-store -,house in shopping-cart  ,tempslibre
storm clouds -,mother searches for,candles,tempslibre
lavender blooms,next to the violets,in a blue pot,tempslibre
stars,a full pool,in the garden,tempslibre
frigid job site -,the cement mixer,wheezes to life,tempslibre
moonlit ,our cell phones charging,side by side ,tempslibre
through closed eyelids,lightning strikes,my dream,tempslibre
from a mirror,pale blue eyes stare knowingly,the snow will deepen,tempslibre
prairie roads,in ditches full of snowmelt,moons float,tempslibre
a kitten...,will it too forget,its first snow?,tempslibre
full moon night...,starting the camp fire,with a page of fashion magazine,tempslibre
a new cellphone...,so many people to talk to,till the battery dies,tempslibre
"out of the city,",so many stars,unnamed,tempslibre
late summer rain --,two kids break the bottles,under the bridge,tempslibre
acorn falls,the sound of rain,continues,tempslibre
the moon,in every puddle,the same,tempslibre
Falling leaves,I already miss you,This winter,tempslibre
